steps,average_reward
512,0.955078125
1024,0.95703125
1536,0.966796875
2048,0.982421875
2560,0.984375
3072,0.9921875
3584,0.994140625
4096,0.998046875
4608,0.99609375
5120,0.994140625
5632,0.99609375
6144,0.99609375
6656,0.99609375
7168,0.990234375
7680,0.998046875
8192,0.99609375
8704,0.994140625
9216,0.99609375
9728,0.9921875
10240,0.998046875
10752,0.994140625
11264,0.99609375
11776,0.994140625
12288,0.99609375
12800,0.994140625
13312,0.998046875
13824,0.9921875
14336,0.994140625
14848,0.99609375
15360,1.0
15872,0.99609375
16384,0.998046875
16896,0.99609375
17408,1.0
17920,0.99609375
18432,0.99609375
18944,0.998046875
19456,0.99609375
19968,1.0
20480,0.99609375
