episode,reward
1,-61.06535503400131
2,-62.365559795915765
3,-59.74718016692121
4,-62.241329179179274
5,-64.33731114813374
6,-69.3433480334329
7,-54.27024059769704
8,-66.45375578767087
9,-57.86166503768782
10,-59.49548901826597
11,-59.24516877245312
12,-57.91438605533917
13,-56.086210175130844
14,-70.07159403225863
15,-66.17677303034421
16,-62.81016436596751
17,-53.80600527132611
18,-60.070521233618635
19,-67.97373634424055
20,-61.152599567317985
21,-63.93239938099768
22,-63.21088830869269
23,-65.56403137605736
24,-61.40354476006609
25,-53.329736064219794
26,-65.5885284840625
27,-68.0519863063985
28,-56.390877706888006
29,-57.2519904099935
30,-61.55331778830967
31,-59.28116435788007
32,-59.7127762952491
33,-60.13808454424103
34,-59.39896368751662
35,-55.38133510129521
36,-65.60274282111617
37,-72.4856176461388
38,-56.58923514036742
39,-60.128763010062414
40,-50.61910767999104
41,-50.260473589035016
42,-61.071596213259944
43,-54.36289769842133
44,-57.379541153477
45,-62.87336779476121
46,-53.620400102992456
47,-60.59884595481927
48,-61.08090688669671
49,-60.466125655108314
50,-62.624832248108994
51,-63.138235347608834
52,-57.46570334044776
53,-59.394078787177335
54,-62.57872570059861
55,-66.38588245397088
56,-56.476731083730066
57,-60.18871195920485
58,-56.63657349695556
59,-67.02846461977138
60,-60.11602787382206
61,-59.940309033115895
62,-61.14297296348156
63,-63.671115429263544
64,-57.68920937412642
65,-61.99887144020328
66,-69.51695948098248
67,-66.85976966657688
68,-59.516688100871754
69,-65.15010901457248
70,-68.61561000755916
71,-63.86408112802321
72,-65.52594235669535
73,-60.976430372955654
74,-63.280596428077914
75,-60.73104411901675
76,-53.99929798456751
77,-56.400728234452544
78,-63.65513271526079
79,-56.95043614410853
80,-55.38557776085919
81,-41.366152770152844
82,-69.93411405126756
83,-57.28721022402199
84,-67.42265431722308
85,-55.273096974445856
86,-46.109920707114384
87,-55.778286393980636
88,-59.55554740026596
89,-62.13731280412038
90,-60.95903396518918
91,-65.16280233358339
92,-61.217099054153465
93,-62.237600176013125
94,-62.39282531345282
95,-67.15027959996384
96,-64.30719359696484
97,-63.98556902797278
98,-66.73253081849434
99,-67.26220249436453
100,-53.959782177631425
101,-52.30377375404213
102,-65.54120886262253
103,-55.09526694981972
104,-61.11889110345828
105,-61.65410413202681
106,-66.73282681139041
107,-56.53168637432522
108,-52.077659292056644
109,-64.04313092477105
110,-56.965654716900374
111,-65.77657878874763
112,-56.13867346715815
113,-47.73519583564689
114,-63.77012429968275
115,-58.80347786566654
116,-66.37956498712354
117,-57.57730605545458
118,-55.66125696693451
119,-56.35196757330768
120,-55.16776258999931
121,-30.325366671028434
122,-61.64828625005617
123,-64.12921624206182
124,-54.64500054171227
125,-60.20033674799416
126,-64.8869387810666
127,-66.37093432916913
128,-60.96558449435579
129,-55.64133801319276
130,-64.22538681753353
131,-54.654239501701
132,-59.40915515920942
133,-60.303233939319036
134,-55.90639724841088
135,-48.88386346143762
136,-62.38648361973897
137,-66.67033563247489
138,-54.57774975991219
139,-55.9932559455512
140,-57.21759459210865
141,-50.12901712400242
142,-64.18994399780395
143,-66.72190547395819
144,-56.05466394300491
145,-54.16459627823361
146,-58.02942294433831
147,-63.75351678790241
148,-62.325389262039536
149,-58.80910971729572
150,-56.63479099967433
151,-58.830649077872174
152,-59.15090193620155
153,-57.16579765220699
154,-53.96018476114186
155,-55.35417664624774
